state_code,state_name,district_code,district_name,
9,Uttar Pradesh,30,Kannauj,
9,Uttar Pradesh,31,Etawah,
9,Uttar Pradesh,32,Auraiya,
9,Uttar Pradesh,33,Kanpur Dehat,
9,Uttar Pradesh,34,Kanpur Nagar,
9,Uttar Pradesh,35,Jalaun,
9,Uttar Pradesh,36,Jhansi,
9,Uttar Pradesh,37,Lalitpur,
9,Uttar Pradesh,38,Hamirpur,
9,Uttar Pradesh,39,Mahoba,
9,Uttar Pradesh,40,Banda,
9,Uttar Pradesh,41,Chitrakoot,
9,Uttar Pradesh,42,Fatehpur,
9,Uttar Pradesh,43,Pratapgarh,
9,Uttar Pradesh,44,Kaushambi,
9,Uttar Pradesh,45,Allahabad,
9,Uttar Pradesh,46,Barabanki,
9,Uttar Pradesh,47,Faizabad,
9,Uttar Pradesh,48,Ambedkar Nagar,
9,Uttar Pradesh,49,Sultanpur,
9,Uttar Pradesh,50,Bahraich,
9,Uttar Pradesh,51,Shrawasti,
9,Uttar Pradesh,52,Balrampur,
9,Uttar Pradesh,53,Gonda,
9,Uttar Pradesh,54,Siddharthnagar,
9,Uttar Pradesh,55,Basti,
9,Uttar Pradesh,56,Sant Kabir Nagar,
9,Uttar Pradesh,57,Mahrajganj,
9,Uttar Pradesh,58,Gorakhpur,
9,Uttar Pradesh,59,Kushinagar,
9,Uttar Pradesh,60,Deoria,
9,Uttar Pradesh,61,Azamgarh,
9,Uttar Pradesh,62,Mau,
9,Uttar Pradesh,63,Ballia,
9,Uttar Pradesh,64,Jaunpur,
9,Uttar Pradesh,65,Ghazipur,
9,Uttar Pradesh,66,Chandauli,
9,Uttar Pradesh,67,Varanasi,
9,Uttar Pradesh,68,Sant Ravidas Nagar Bhadohi,
9,Uttar Pradesh,69,Mirzapur,
9,Uttar Pradesh,70,Sonbhadra,
,,,,
10,Bihar,1,Pashchim Champaran,
10,Bihar,2,Purba Champaran,
10,Bihar,3,Sheohar,
10,Bihar,4,Sitamarhi,
10,Bihar,5,Madhubani,
10,Bihar,6,Supaul,
10,Bihar,7,Araria,
10,Bihar,8,Kishanganj,
10,Bihar,9,Purnia,
10,Bihar,10,Katihar,
10,Bihar,11,Madhepura,
10,Bihar,12,Saharsa,
10,Bihar,13,Darbhanga,
10,Bihar,14,Muzaffarpur,
10,Bihar,15,Gopalganj,
10,Bihar,16,Siwan,
10,Bihar,17,Saran,
10,Bihar,18,Vaishali,
10,Bihar,19,Samastipur,
10,Bihar,20,Begusarai,
10,Bihar,21,Khagaria,
10,Bihar,22,Bhagalpur,
10,Bihar,23,Banka,
10,Bihar,24,Munger,
10,Bihar,25,Lakhisarai,
10,Bihar,26,Sheikhpura,
10,Bihar,27,Nalanda,
10,Bihar,28,Patna,
10,Bihar,29,Bhojpur,
10,Bihar,30,Buxar,
10,Bihar,31,Kaimur (Bhabua),
10,Bihar,32,Rohtas,
10,Bihar,33,Jehanabad,
10,Bihar,34,Aurangabad,
10,Bihar,35,Gaya,
10,Bihar,36,Nawada,
10,Bihar,37,Jamui,
,,,,
11,Sikkim,1,North,
11,Sikkim,2,West,
11,Sikkim,3,South,
11,Sikkim,4, East,
,,,,
12,Arunachal Pradesh,1,Tawang,
12,Arunachal Pradesh,2,West Kameng,
12,Arunachal Pradesh,3,East Kameng,
12,Arunachal Pradesh,4,Papumpare,
12,Arunachal Pradesh,5,Lower Subansiri,
12,Arunachal Pradesh,6,Upper Subansiri,
12,Arunachal Pradesh,7,West Siang,
12,Arunachal Pradesh,8,East Siang,
12,Arunachal Pradesh,9,Upper Siang,
12,Arunachal Pradesh,10,Dibang Valley,
12,Arunachal Pradesh,11,Lohit,
12,Arunachal Pradesh,12,Changlang,
12,Arunachal Pradesh,13,Tirap,
12,Arunachal Pradesh,14,Kurung Kamey,
12,Arunachal Pradesh,15,Lower Dibang Valley,
12,Arunachal Pradesh,16,Anjaw,
,,,,
13,Nagaland,1,Mon,
13,Nagaland,2,Tuensang,
13,Nagaland,3,Mokokchung,
13,Nagaland,4,Zunheboto,
13,Nagaland,5,Wokha,
13,Nagaland,6,Dimapur,
13,Nagaland,7,Kohima,
13,Nagaland,8,Phek,
13,Nagaland,9,Kiphire,
13,Nagaland,10,Longleng,
13,Nagaland,11,Paren,
,,,,
14,Manipur,1,Senapati,
14,Manipur,2,Tamenglong,
14,Manipur,3,Churachandpur,
14,Manipur,4,Bishnupur,
14,Manipur,5,Thoubal,
14,Manipur,6,Imphal West,
14,Manipur,7,Imphal East,
14,Manipur,8,Ukhrul,
14,Manipur,9,Chandel,
,,,,
15,Mizoram,1,Mamit,
15,Mizoram,2,KOLASIB,
15,Mizoram,3,Aizawl,
15,Mizoram,4,Champhai,
15,Mizoram,5,SERCHHIP,
15,Mizoram,6,LUNGLEI,
15,Mizoram,7,LAWNGTLAI,
15,Mizoram,8,SAIHA,
,,,,
16,Tripura,1,West Tripura,
16,Tripura,2,South Tripura,
16,Tripura,3,Dhalai,
16,Tripura,4,North Tripura,
,,,,
17,Meghalaya ,1,West Garo Hills ,
17,Meghalaya ,2,East Garo Hills ,
17,Meghalaya ,3,South Garo Hills ,
17,Meghalaya ,4,West Khasi Hills,
17,Meghalaya ,5,Ri Bhoi,
17,Meghalaya ,6,East Khasi Hills,
17,Meghalaya ,7,Jaintia Hills,
,,,,
18,Assam,1,Kokrajhar,
18,Assam,2,Dhubri,
18,Assam,3,Goalpara,
18,Assam,4,Bongaigaon,
18,Assam,5,Barpeta,
18,Assam,6,Kamrup,
18,Assam,7,Nalbari,
18,Assam,8,Darrang,
18,Assam,9,Marigaon,
18,Assam,10,Nagaon,
18,Assam,11,Sonitpur,
18,Assam,12,Lakhimpur,
18,Assam,13,Dhemaji,
18,Assam,14,Tinsukia,
18,Assam,15,Dibrugarh,
18,Assam,16,Sibsagar,
18,Assam,17,Jorhat,
18,Assam,18,Golaghat,
18,Assam,19,Karbi Anglong,
18,Assam,20,North Cachar Hills,
18,Assam,21,Cachar,
18,Assam,22,Karimganj,
18,Assam,23,Hailakandi,
,,,,
19,West Bengal,1,Darjiling,
19,West Bengal,2,Jalpaiguri,
19,West Bengal,3,Koch Bihar,
19,West Bengal,4,Uttar Dinajpur,
19,West Bengal,5,Dakshin Dinajpur,
19,West Bengal,6,Maldah,
19,West Bengal,7,Murshidabad,
19,West Bengal,8,Birbhum,
19,West Bengal,9,Barddhaman,
19,West Bengal,10,Nadia,
19,West Bengal,11,North 24 Parganas,
19,West Bengal,12,Hugli,
19,West Bengal,13,Bankura,
19,West Bengal,14,Puruliya,
19,West Bengal,15,Paschim Medinipur,
19,West Bengal,16,Haora,
19,West Bengal,17,kolkata,
19,West Bengal,18,South 24 Parganas,
19,West Bengal,19,Purba Mednipur,
,,,,
20,Jharkhand,1,Garhwa,
20,Jharkhand,2,Palamu,
20,Jharkhand,3,Chatra ,
20,Jharkhand,4,Hazaribagh,
20,Jharkhand,5,Kodarma ,
20,Jharkhand,6,Giridih,
20,Jharkhand,7,Deoghar,
20,Jharkhand,8,Godda,
20,Jharkhand,9,Sahibganj,
20,Jharkhand,10,Pakaur ,
20,Jharkhand,11,Dumka,
20,Jharkhand,12,Dhanbad,
20,Jharkhand,13,Bokaro ,
20,Jharkhand,14,Ranchi,
20,Jharkhand,15,Lohardaga,
20,Jharkhand,16,Gumla,
20,Jharkhand,17,Pashchimi Singhbhum,
20,Jharkhand,18,Purbi Singhbhum,
,,,,
21,Odisha,1,Bargarh,
21,Odisha,2,Jharsuguda,
21,Odisha,3,Sambalpur,
21,Odisha,4,Debagarh,
21,Odisha,5,Sundargarh,
21,Odisha,6,Kendujhar,
21,Odisha,7,Mayurbhanj,
21,Odisha,8,Baleshwar,
21,Odisha,9,Bhadrak,
21,Odisha,10,Kendrapara,
21,Odisha,11,Jagatsinghapur,
21,Odisha,12,Cuttack,
21,Odisha,13,Jajapur,
21,Odisha,14,Dhenkanal,
21,Odisha,15,Anugul,
21,Odisha,16,Nayagarh,
21,Odisha,17,Khordha,
21,Odisha,18,Puri,
21,Odisha,19,Ganjam,
21,Odisha,20,Gajapati,
21,Odisha,21,Kandhamal,
21,Odisha,22,Baudh,
21,Odisha,23,Sonapur,
21,Odisha,24,Balangir,
21,Odisha,25,Nuapada,
21,Odisha,26,Kalahandi,
21,Odisha,27,Rayagada,
21,Odisha,28,Nabarangapur,
21,Odisha,29,Koraput,
21,Odisha,30,Malkangiri,
,,,,
22,Chhattisgarh,1,Koriya,
22,Chhattisgarh,2,Surguja,
22,Chhattisgarh,3,Jashpur,
22,Chhattisgarh,4,Raigarh,
22,Chhattisgarh,5,Korba,
22,Chhattisgarh,6,Janjgir - Champa,
22,Chhattisgarh,7,Bilaspur,
22,Chhattisgarh,8,Kawardha ,
22,Chhattisgarh,9,Rajnandgaon,
22,Chhattisgarh,10,Durg,
22,Chhattisgarh,11,Raipur,
22,Chhattisgarh,12,Mahasamund ,
22,Chhattisgarh,13,Dhamtari,
22,Chhattisgarh,14,Kanker ,
22,Chhattisgarh,15,Bastar,
22,Chhattisgarh,16,Dantewada,
,,,,
23,Madhya Pradesh,1,Sheopur,
23,Madhya Pradesh,2,Morena,
23,Madhya Pradesh,3,Bhind,
23,Madhya Pradesh,4,Gwalior,
23,Madhya Pradesh,5,Datai,
23,Madhya Pradesh,6,Shivpuri,
23,Madhya Pradesh,7,Guna,
23,Madhya Pradesh,8,Tikamgarh,
23,Madhya Pradesh,9,Chhatarpur,
23,Madhya Pradesh,10,Panna,
23,Madhya Pradesh,11,Sagar,
23,Madhya Pradesh,12,Damoh,
23,Madhya Pradesh,13,Satna,
23,Madhya Pradesh,14,Rewa,
23,Madhya Pradesh,15,Umaria,
23,Madhya Pradesh,16,Shahdol,
23,Madhya Pradesh,17,Sidhi,
23,Madhya Pradesh,18,Neemuch,
23,Madhya Pradesh,19,Mandsaur,
23,Madhya Pradesh,20,Ratlam,
23,Madhya Pradesh,21,Ujjain,
23,Madhya Pradesh,22,Shajapur,
23,Madhya Pradesh,23,Dewas,
23,Madhya Pradesh,24,Jhabua,
23,Madhya Pradesh,25,Dhar,
23,Madhya Pradesh,26,Indore,
23,Madhya Pradesh,27,West Nimar,
23,Madhya Pradesh,28,Barwani,
23,Madhya Pradesh,29,East Nimar,
23,Madhya Pradesh,30,Rajgarh,
23,Madhya Pradesh,31,Vidisha,
23,Madhya Pradesh,32,Bhopal,
23,Madhya Pradesh,33,Sehore,
23,Madhya Pradesh,34,Raisen,
23,Madhya Pradesh,35,Betul,
23,Madhya Pradesh,36,Harda,
23,Madhya Pradesh,37,Hoshangabad,
23,Madhya Pradesh,38,Katni,
23,Madhya Pradesh,39,Jabalpur,
23,Madhya Pradesh,40,Narsimhapur,
23,Madhya Pradesh,41,Dindori,
23,Madhya Pradesh,42,Mandla,
23,Madhya Pradesh,43,Chhindwara,
23,Madhya Pradesh,44,Seoni,
23,Madhya Pradesh,45,Balaghat,
,,,,
27,Maharashtra,1,Nandurbar,
27,Maharashtra,2,Dhule,
27,Maharashtra,3,Jalgaon,
27,Maharashtra,4,Buldana,
27,Maharashtra,5,Akola,
27,Maharashtra,6,Washim,
27,Maharashtra,7,Amrawati,
27,Maharashtra,8,Wardha,
27,Maharashtra,9,Nagpur,
27,Maharashtra,10,Bhandara,
27,Maharashtra,11,Gondiya,
27,Maharashtra,12,Gadchiroli,
27,Maharashtra,13,Chandrapur,
27,Maharashtra,14,Yavatmal,
27,Maharashtra,15,Nanded,
27,Maharashtra,16,Hingoli,
27,Maharashtra,17,Parbhani,
27,Maharashtra,18,Jalna,
27,Maharashtra,19,Aurangabad,
27,Maharashtra,20,Nashik,
27,Maharashtra,21,Thane,
27,Maharashtra,22,Mumbai (Suburban),
27,Maharashtra,23,Mumbai,
27,Maharashtra,24,Raigarh,
27,Maharashtra,25,Pune,
27,Maharashtra,26,Ahmadnagar,
27,Maharashtra,27,Bid,
27,Maharashtra,28,Latur,
27,Maharashtra,29,Osmanabad,
27,Maharashtra,30,Solapur,
27,Maharashtra,31,Satara,
27,Maharashtra,32,Ratnagiri,
27,Maharashtra,33,Sindhudurg,
27,Maharashtra,34,Kolhapur,
27,Maharashtra,35,Sangli,
,,,,
28,Andra Pradesh,11,Srikakulam,
28,Andra Pradesh,12,Vizianagaram,
28,Andra Pradesh,13,Vishakapatnam,
28,Andra Pradesh,14,East Godavari,
28,Andra Pradesh,15,West Godavari,
28,Andra Pradesh,16,Krishna,
28,Andra Pradesh,17,Guntur,
28,Andra Pradesh,18,Prakasam,
28,Andra Pradesh,19,Sri Potti Sriramulu Nellore,
28,Andra Pradesh,20,Y.S.R.,
28,Andra Pradesh,21,Kurnool,
28,Andra Pradesh,22,Anantpur,
28,Andra Pradesh,23,Chitoor,
,,,,
29,Karnataka,1,Belgaum,
29,Karnataka,2,Bagalkot,
29,Karnataka,3,Bijapur,
29,Karnataka,4,Gulbarga,
29,Karnataka,5,Bidar,
29,Karnataka,6,Raichur,
29,Karnataka,7,Koppal,
29,Karnataka,8,Gadag,
29,Karnataka,9,Dharwad,
29,Karnataka,10,Uttara Kannada,
29,Karnataka,11,Haveri,
29,Karnataka,12,Bellary,
29,Karnataka,13,Chitradurga,
29,Karnataka,14,Davangere,
29,Karnataka,15,Shimoga,
29,Karnataka,16,Udupi,
29,Karnataka,17,Chikmagalur,
29,Karnataka,18,Tumkur,
29,Karnataka,19,Kolar,
29,Karnataka,20,Bangalore,
29,Karnataka,21,Bangalore Rural,
29,Karnataka,22,Mandya,
29,Karnataka,23,Hassan,
29,Karnataka,24,Dakshina Kannada,
29,Karnataka,25,Kodagu,
29,Karnataka,26,Mysore,
29,Karnataka,27,Chamarajanagar,
29,Karnataka,28,Ramanagara,
29,Karnataka,29,Chikkaballarpura,
29,Karnataka,30,Yadgir,
,,,,
30,Goa,1,North Goa,
30,Goa,2,South Goa,
,,,,
32,Kerala,1,Kasaragod,
32,Kerala,2,Kannur,
32,Kerala,3,Wayanand,
32,Kerala,4, Kozhikode,
32,Kerala,5,Mallappuram,
32,Kerala,6,PALAKKAD,
32,Kerala,7,Thrissur,
32,Kerala,8,Ernakulam,
32,Kerala,9,Idukki,
32,Kerala,10,Kottayam,
32,Kerala,11,Alappuzha,
32,Kerala,12,Pathanamthitta,
32,Kerala,13,kollam,
32,Kerala,14,Thiruvananthapuram,
,,,,
33,Tamil Nadu,1,Thiruvallur,
33,Tamil Nadu,2,Chennai,
33,Tamil Nadu,3,Kancheepuram,
33,Tamil Nadu,4,Vellore,
33,Tamil Nadu,5,Dharmapuri,
33,Tamil Nadu,6,Tiruvannamalai,
33,Tamil Nadu,7,Viluppuram,
33,Tamil Nadu,8,Salem,
33,Tamil Nadu,9,Namakkal,
33,Tamil Nadu,10,Erode,
33,Tamil Nadu,11,Nilgiris,
33,Tamil Nadu,12,Coimbatore,
33,Tamil Nadu,13,Dindigul,
33,Tamil Nadu,14,Karur,
33,Tamil Nadu,15,Tiruchirappalli,
33,Tamil Nadu,16,Perambalur,
33,Tamil Nadu,17,Ariyalur,
33,Tamil Nadu,18,Cuddalore,
33,Tamil Nadu,19,Nagapattinam,
33,Tamil Nadu,20,Thiruvarur,
33,Tamil Nadu,21,Thanjavur,
33,Tamil Nadu,22,Pudukkottai,
33,Tamil Nadu,23,Sivaganga,
33,Tamil Nadu,24,Madurai,
33,Tamil Nadu,25,Theni,
33,Tamil Nadu,26,Virudhunagar,
33,Tamil Nadu,27,Ramanathapuram,
33,Tamil Nadu,28,Thoothukkudi,
33,Tamil Nadu,29,Tirunelveli,
33,Tamil Nadu,30,Kanniyakumari,
33,Tamil Nadu,31,Krishnagiri,
33,Tamil Nadu,32,Tiruppur,
,,,,
34,Puducherry,1,Yaman,
34,Puducherry,2,Pondicherry,
34,Puducherry,3,Mahe,
34,Puducherry,4,Karaikal,
,,,,
35,A&N Island,1,North & Middle Andaman,
35,A&N Island,2,South Andamana,
35,A&N Island,3,Nicobar,
,,,,
36,Telangana,1,Adilabad,
36,Telangana,2,Nizamabad,
36,Telangana,3,Karimnagar,
36,Telangana,4,Medak,
36,Telangana,5,Hyderabad,
36,Telangana,6,Rangareddy,
36,Telangana,7,Mahbubnagar,
36,Telangana,8,Nalgonda,
36,Telangana,9,Warngal,
36,Telangana,10,Khammam,
