state,district
West Bengal,Purba Bardhaman
West Bengal,Purba Medinipur
West Bengal,Purulia
West Bengal,South 24 Parganas
West Bengal,Uttar Dinajpur
Andaman and Nicobar,Nicobar
Andaman and Nicobar,North and Middle Andaman
Andaman and Nicobar,South Andaman
Chandigarh,Chandigarh
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,Daman
Dadra and Nagar Haveli and Daman and Diu,Diu
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Budgam
Jammu and Kashmir,Bandipore
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Doda
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kathua
Jammu and Kashmir,Kishtwar
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Poonch
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Ramban
Jammu and Kashmir,Reasi
Jammu and Kashmir,Samba
Jammu and Kashmir,Shopian
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Udhampur
Ladakh,Kargil
Ladakh,Leh
Lakshadweep,Lakshadweep
National Capital Territory of Delhi,Central Delhi
National Capital Territory of Delhi,East Delhi
National Capital Territory of Delhi,New Delhi
National Capital Territory of Delhi,North Delhi
National Capital Territory of Delhi,North East Delhi
National Capital Territory of Delhi,North West Delhi
National Capital Territory of Delhi,Shahdara
National Capital Territory of Delhi,South Delhi
National Capital Territory of Delhi,South East Delhi
National Capital Territory of Delhi,South West Delhi
National Capital Territory of Delhi,West Delhi
Puducherry,Karaikal
Puducherry,Mahé
Puducherry,Puducherry
Puducherry,Yanam
